1,3,0,4,67,205
2,2,0,3,67,205
3,2,0,3,67,392
4,4,0,7,67,205
5,2,0,3,67,206
6,2,0,3,63,1289
7,1,0,2,1289,1602
8,4,0,6,1289,206
9,2,0,3,1289,392
10,7,0,7,1289,206
11,2,0,3,326,297
12,3,0,5,297,206
13,3,0,4,832,1435
14,4,0,7,682,206
15,1,0,1,682,1297
16,2,0,3,682,480
17,1,0,3,1426,480
18,1,0,2,1426,1297
19,3,0,4,1426,480
20,4,0,3,1426,480
21,1,0,3,1585,480
22,2,0,5,1585,480
23,4,0,7,480,1210
24,4,0,5,480,480
25,1,0,1,480,1271
26,3,0,2,480,1297
27,5,0,6,480,1271
28,4,0,6,1271,1210
29,2,0,2,1427,1435
30,1,0,1,1241,30
31,2,0,2,1,30
32,3,0,2,1,1602
33,5,0,8,941,1699
34,4,0,7,1462,1699
35,1,0,1,1462,1272
36,4,0,4,1699,1210
37,4,0,6,1272,1210
38,0,0,,1271,1602
39,5,0,5,1271,294
40,2,0,4,1271,294
41,8,0,9,1271,294
42,3,0,5,737,911
43,3,0,7,1492,1743
44,1,0,1,1746,1739
45,2,0,2,1746,1741
46,2,0,5,579,1741
47,4,0,4,579,1518
48,5,0,4,579,796
49,3,0,6,796,1741
50,6,0,9,796,378
51,6,0,11,496,378
52,2,0,4,496,796
53,7,0,14,496,416
54,4,0,5,435,416
55,3,0,3,1726,535
56,5,0,7,1726,1224
57,3,0,6,1726,1342
58,5,0,9,1726,774
59,5,0,7,1726,1484
60,1,0,2,1086,535
61,5,0,8,535,378
62,4,0,4,634,378
63,4,0,3,634,535
64,5,0,6,467,1518
65,2,0,2,467,1739
66,2,0,2,467,1750
67,2,0,2,1739,1745
68,8,0,8,1657,901
69,2,0,5,901,216
70,5,0,6,901,901
71,6,0,6,901,1441
72,8,0,5,901,653
73,8,0,14,653,425
74,9,0,5,653,1394
75,7,0,6,1514,319
76,2,0,1,1514,319
77,6,0,11,1391,1587
78,9,0,16,1391,99
79,3,0,5,1391,1587
80,6,0,11,509,1587
81,2,0,3,509,1394
82,4,0,6,509,1366
83,4,0,4,509,1738
84,4,0,9,1394,998
85,6,0,4,1394,998
86,4,0,10,1394,1673
87,1,0,2,1394,636
88,3,0,5,1394,1551
89,3,0,5,1394,1673
90,2,0,3,634,1551
91,2,0,4,1823,590
92,5,0,9,1407,279
93,4,0,8,1407,590
94,4,0,8,1793,279
95,5,0,9,1793,1045
96,6,0,10,1283,1045
97,6,0,9,1283,1045
98,6,0,9,1288,940
99,4,0,6,1288,940
100,4,0,6,74,940
101,5,0,5,1002,1551
102,3,0,6,1312,1825
103,5,0,9,1825,940
104,4,0,6,1598,940
105,6,0,6,1495,1214
106,5,0,5,1495,1842
107,9,0,11,328,1842
108,7,0,9,328,659
109,3,0,5,1797,659
110,5,0,6,582,659
111,1,0,1,582,1562
112,6,0,6,582,960
113,2,0,4,1766,1562
114,6,0,9,1766,659
115,2,0,3,1766,277
116,4,0,5,1562,659
117,3,0,3,960,1774
118,5,0,4,960,1673
119,3,0,4,1830,659
120,6,0,6,1830,482
121,5,0,5,1879,482
122,5,0,6,1879,659
123,2,0,2,49,482
124,6,0,6,49,1774
125,3,0,3,49,776
126,4,0,4,469,1774
127,4,0,4,469,776
128,2,0,2,469,590
129,3,0,3,469,776
130,2,0,2,469,279
131,7,0,6,469,1235
132,5,0,6,1831,776
133,2,0,3,1831,781
134,6,0,6,1235,776
135,3,0,3,1235,1045
136,4,0,5,1235,1235
137,4,0,4,1235,701
138,4,0,4,1235,1501
139,5,0,6,1235,701
140,1,0,2,1800,1124
141,2,0,2,1653,764
142,5,0,6,1653,940
143,3,0,6,764,940
